城市,聚类标签,跨境数据传输总量_TB,数据中心数量,互联网国际出口带宽_Gbps,GDP_亿元,数字经济核心产业增加值_亿元,研发经费投入_亿元,发明专利授权量,5G基站数量,算力规模_PFLOPS,智慧城市发展指数
东莞,1,-0.15659555020380156,2.1189761742664817,1.511234526478237,0.00717341277090471,0.045959215860623896,-0.01562798468407769,1.4680693916500889,-1.155045448302313,1.6358644906168158,0.5714746114949535
中山,0,-0.34233759053574964,-0.5472601558203871,-0.5731490177697657,-0.8033929200253823,-0.7496291820084358,-0.7927404862007618,-1.2443218043788227,0.5635820484061987,-0.9510778140820365,-0.5446603039699077
佛山,0,-0.40863519873476895,0.0776389840437228,-0.3180613386142297,-0.1083493722676474,-0.21185145723710846,-0.26414716991143206,-0.3431994025413808,-0.1164536972213776,0.2648363677515542,0.5714746114949535
广州,1,2.8498168537777193,1.7440366903480158,1.6767294613745183,1.3030685760413079,1.099100130013452,1.1201472644803874,0.02370625838492056,1.126456795751688,-0.3981529051137981,0.5714746114949535
惠州,0,-0.6988569164595827,-0.7555598691084237,-0.5333375245008994,-0.6660135285310339,-0.7086503209141836,-0.6709291303651954,-1.1069158092454598,1.4198726551300014,-0.648797972210125,-0.07615780612413629
江门,0,-0.811426671476833,-0.13066072924431382,-1.498625889343459,-0.7756889380879648,-0.7801152453216863,-0.728435821427544,-0.7667673295020585,-0.13185460741425176,-0.2087346014300905,0.11166091577110267
深圳,1,-0.28795093745138256,0.49423841061979606,1.1744630750605307,1.7954922022528004,1.863061956434454,1.6867636510215684,2.0022686442075153,-0.006023467097657777,0.005633637406027663,0.5714746114949535
澳门,0,-0.6436957887155103,-0.5472601558203871,-1.0526272025592818,-0.6766773565118285,-0.6959193906023774,-0.6849261199426954,-0.4231211790157944,-1.1855392504842035,-0.41269766665820673,-2.9537129286474078
珠海,0,-0.3560961885957714,-0.7555598691084237,-0.19928428648843266,-0.7840611709186098,-0.7076043836930238,-0.6848777511653593,0.07249876524785577,-0.9481028476365817,0.14184655385615597,0.5714746114949535
肇庆,0,-0.03729229312018282,-0.9430296110676567,-0.5409443034486583,-0.8811149271208158,-0.8536372103364519,-0.8514300390618115,-0.5897851899132039,-1.1314307193399058,-1.499377337043778,0.03402245400066916
香港,1,0.893070281515864,-0.7555598691084237,0.3536024998114382,1.5895640223982708,1.6992858878047363,1.886203587256922,0.9075676551063347,1.5645385382083992,2.070657246907481,0.5714746114949535
