,Factor1_Score,Factor2_Score,Factor3_Score,综合得分,排名
东莞,0.5450888495851092,1.5402104808887633,-0.16237843455404954,0.6409736319732743,3
中山,-1.4092989366502575,-0.5687185672547047,0.6922877580447193,-0.42857658195341425,8
佛山,-1.8205217109349168,0.6687882819257728,1.8192831903972162,0.22251658712935743,6
广州,-0.18341415259307853,2.053342260732701,0.42313485450181165,0.764354320880478,2
惠州,-0.5747411092572745,-0.09471500036403357,0.11521068061875894,-0.18474847633418304,7
江门,0.5723675628823601,-1.8916048808115713,-1.3701582431269004,-0.8964651870187038,10
深圳,2.43563667795889,-0.020458027329621493,-0.929697746336674,0.4951603014308649,4
澳门,-0.2947240671893001,-0.48544264021754363,-1.2249523447155974,-0.668373017374147,9
珠海,0.6848911716473782,0.2140269979806415,-5.472231213363743,-1.5244376812452411,11
肇庆,-1.2325000442750904,-0.4943336503473057,3.1798581491500544,0.48434148484255274,5
香港,1.2772157588261892,-0.9210952552030919,2.9296433493843392,1.0952546176691456,1
