,PC1,PC2,PC3
东莞,1.8989401679150963,2.814162722809524,0.6516855598757111
中山,-2.0383609984439257,-1.0045835091390545,0.3769093085840101
佛山,-0.3755516946278521,0.14387227070344216,-0.1004791969080644
广州,3.443238704513876,-1.288876340158391,2.4293500613808368
惠州,-1.6795553993169743,-1.4846464245129178,-0.11197815760158847
江门,-2.010985781962253,-0.06657334209644745,-0.25410437118178375
深圳,3.393367707521872,0.6289023656830925,-0.9235035254959971
澳门,-2.624363377088337,0.757648707900736,-0.5791945736857897
珠海,-1.1889123973425826,0.7640407047890779,-0.17932084550276298
肇庆,-2.2533601608439624,0.07420462852977176,0.6454539184820925
香港,3.4355432296750434,-1.3381517845088335,-1.9548181779466638
